material_id,d33_value
mp-14,0.0
mp-19,0.0
mp-971661,3.818777874185941e-19
mp-137,0.0
mp-556788,-2.494601709848662
mp-752826,-1.940671503185643
mp-555760,0.0
mp-567313,0.0
mp-999498,-1.1586702201480109e-18
mp-1019086,5.493435366605109e-19
mp-239,1.0268813334201564e-16
mp-2059,-18.54109617555852
mp-570922,-8.881784197001252e-16
mp-20191,0.0
mp-10074,1.126301315946375e-15
mp-22909,2.7234773310302385e-15
mp-546794,-9.09173041750748e-17
mp-7582,-1.432427420152201e-15
mp-7583,4.961574697295418e-16
mp-971683,2.72394078267084
mp-1009818,0.0
mp-15951,0.0
mp-306,0.0
mp-553432,0.0
mp-634,0.0
mp-7000,0.0
mp-733,0.0
mp-223,0.0
mp-6930,0.0
mp-9252,0.0
mp-546546,0.0
mp-11342,0.0871044712315525
mp-13150,-2.0842048221992173
mp-13456,1.0080750369063425
mp-1408285,-1.410373496192758
mp-1434,0.0351161672000469
mp-22691,0.5719628988136215
mp-23162,-0.18607140222749
mp-554405,1.418166268188543
mp-555763,1.373785474968273
mp-755483,-0.0957256260114565
mp-7581,0.6231230556188694
mp-938,-45.19810555684388
mp-9813,-0.0477053523112162
mp-9947,-0.1181212747891512
mp-568619,0.0129293706195371
mp-568656,0.0195394788202433
mp-570136,3.9109356378141142
mp-570437,0.875015479299745
mp-775808,12.286898569027716
mp-2245,0.3645303480149323
mp-1222,0.0
mp-6922,0.0
mp-8938,0.0
mp-11191,0.0
mp-334,-0.8418424942574046
mp-1009129,0.0
mp-1023924,0.0
mp-1023934,0.0
mp-1023936,0.0
mp-1572,0.0
mp-567885,0.0
mp-604884,0.0
mp-1345,0.0
mp-2340,0.0
mp-409,0.0
mp-568536,0.0
mp-7931,0.0
mp-9063,0.0
mp-23280,1.2089956206574763e-14
mp-28336,1.1509740115189591e-16
mp-561664,0.0
mp-7440,2.851618912382361e-16
mp-7595,5.4664693357396835e-17
mp-8377,-6.838744995424581e-17
mp-1008559,0.505287984650393
mp-1018040,9.66498017826726
mp-1018100,-1.1199924004509905
mp-10281,0.917425569726955
mp-1039,6.43361191596777
mp-1070,6.784164043174053
mp-11714,-0.1220939065841972
mp-12779,0.7069418888280358
mp-2133,9.13287614166862
mp-22894,9.402335706240551
mp-24093,4.50675695826112
mp-2542,0.5197807614331766
mp-2653,-1.1331638781417417
mp-27934,0.0333595445937704
mp-380,-0.5307111981399808
mp-549706,33.153517699632445
mp-560588,0.9102845609344332
mp-561258,0.6098824778778369
mp-567290,45.33871289280226
mp-567503,-2.09387273092476
mp-567505,-0.1402618726164073
mp-569346,-2.109029196039637
mp-570935,10.040776443216696
mp-661,5.279552269101585
mp-672,7.11165447030636
mp-7140,0.5589906405359076
mp-7631,-0.2361632194026035
mp-776911,-9.1183096153438
mp-804,1.732195856961102
mp-864928,0.8523984134001847
mp-866056,30.004629913629397
mp-8880,0.8481001988310753
mp-8881,-0.1066243536271742
mp-8882,-1.7633293360636162
mp-8883,-3.9914781359424016
mp-8884,-2.317893720645909
mp-976280,-10.778073033953795
mp-984718,0.5964324535737298
mp-9946,0.7458735668047857
mp-568328,-2.120909343904453e-18
mp-189,3.651733869006883e-16
mp-21255,2.138662466956948e-16
mp-2488,1.0149033649022049e-15
mp-29145,5.288760082724282e-15
mp-8059,2.9240397256895746e-19
mp-871,8.231469039060472e-17
mp-569600,2.564057840466304e-16
mp-570377,2.230008823163978e-16
mp-570744,1.483021663238398e-16
mp-1002124,-3.1546977748058876e-16
mp-10044,-2.2140711467059824e-18
mp-1008223,5.938709434560888e-15
mp-1009639,-3.501999188262118e-16
mp-1009820,-2.0227817900382254e-17
mp-1009894,-7.650377961171506e-16
mp-10695,6.935729308925961e-17
mp-1156,-1.3877973273508014e-16
mp-1190,-4.5711871671549706e-17
mp-13031,7.520752206316227e-16
mp-13032,7.884183896303578e-16
mp-13033,6.52264129172287e-16
