n,r,m
"(:Paper {journal: Applied Materials Today,year: 2025,title: New piezoelectric materials based on Phe-Leu and Leu-Phe dipeptides,isOpenAccess: false,doi: 10.1016/j.apmt.2024.102564})",[:USES_METHOD],"(:Method {name: spin-coating, spontaneous evaporation, forced drying})"
"(:Paper {journal: Applied Materials Today,year: 2025,title: New piezoelectric materials based on Phe-Leu and Leu-Phe dipeptides,isOpenAccess: false,doi: 10.1016/j.apmt.2024.102564})",[:USED_SYNTHESIS_STEPS],"(:Step {steps: - Dropping 10 μL of a freshly prepared dipeptide solution in methanol (1 mg mL⁻¹) on the surface of a silicon substrate
- Removing the solvent by spontaneous evaporation, forced drying with warm air, or spin-coating at 3000 rpm
- Placing the silicon substrate with deposited dipeptide film in a Petri dish containing methanol to create saturated vapor (P/P₀=1)
- Sealing the Petri dish and keeping it from 10 minutes to 24 hours at room temperature
- Drying the film with warm air (45°C)})"
"(:Paper {journal: Applied Materials Today,year: 2025,title: New piezoelectric materials based on Phe-Leu and Leu-Phe dipeptides,isOpenAccess: false,doi: 10.1016/j.apmt.2024.102564})",[:BELONGS_TO_FAMILY],(:Family {name: dipeptides})
"(:Paper {journal: Applied Materials Today,year: 2025,title: New piezoelectric materials based on Phe-Leu and Leu-Phe dipeptides,isOpenAccess: false,doi: 10.1016/j.apmt.2024.102564})",[:MENTIONS],"(:Composition {property_unit: pm/V,composition: Leu-Phe,property_value: 87})"
"(:Paper {journal: Applied Materials Today,year: 2025,title: New piezoelectric materials based on Phe-Leu and Leu-Phe dipeptides,isOpenAccess: false,doi: 10.1016/j.apmt.2024.102564})",[:MENTIONS],"(:Composition {property_unit: pm/V,composition: Phe-Leu,property_value: 71})"
"(:Paper {journal: Applied Materials Today,year: 2025,title: New piezoelectric materials based on Phe-Leu and Leu-Phe dipeptides,isOpenAccess: false,doi: 10.1016/j.apmt.2024.102564})",[:USED_PRECURSOR],(:Precursor {name: L-phenylalanyl-L-leucine})
"(:Paper {journal: Applied Materials Today,year: 2025,title: New piezoelectric materials based on Phe-Leu and Leu-Phe dipeptides,isOpenAccess: false,doi: 10.1016/j.apmt.2024.102564})",[:USED_PRECURSOR],(:Precursor {name: acetic acid})
"(:Paper {journal: Applied Materials Today,year: 2025,title: New piezoelectric materials based on Phe-Leu and Leu-Phe dipeptides,isOpenAccess: false,doi: 10.1016/j.apmt.2024.102564})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: AFM})
"(:Paper {journal: Applied Materials Today,year: 2025,title: New piezoelectric materials based on Phe-Leu and Leu-Phe dipeptides,isOpenAccess: false,doi: 10.1016/j.apmt.2024.102564})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: XRD})
"(:Paper {journal: Applied Materials Today,year: 2025,title: New piezoelectric materials based on Phe-Leu and Leu-Phe dipeptides,isOpenAccess: false,doi: 10.1016/j.apmt.2024.102564})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: Raman spectroscopy})
"(:Paper {journal: Applied Materials Today,year: 2025,title: New piezoelectric materials based on Phe-Leu and Leu-Phe dipeptides,isOpenAccess: false,doi: 10.1016/j.apmt.2024.102564})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: PFM})
"(:Paper {journal: Applied Materials Today,year: 2025,title: New piezoelectric materials based on Phe-Leu and Leu-Phe dipeptides,isOpenAccess: false,doi: 10.1016/j.apmt.2024.102564})",[:HAS_KEYWORD],(:Keyword {name: Dipeptides})
"(:Paper {journal: Applied Materials Today,year: 2025,title: New piezoelectric materials based on Phe-Leu and Leu-Phe dipeptides,isOpenAccess: false,doi: 10.1016/j.apmt.2024.102564})",[:HAS_KEYWORD],(:Keyword {name: Micro- and nanocrystals})
"(:Paper {journal: Applied Materials Today,year: 2025,title: New piezoelectric materials based on Phe-Leu and Leu-Phe dipeptides,isOpenAccess: false,doi: 10.1016/j.apmt.2024.102564})",[:HAS_KEYWORD],(:Keyword {name: Piezoresponce force microscopy})
"(:Paper {journal: Applied Materials Today,year: 2025,title: New piezoelectric materials based on Phe-Leu and Leu-Phe dipeptides,isOpenAccess: false,doi: 10.1016/j.apmt.2024.102564})",[:HAS_KEYWORD],(:Keyword {name: Piezoelectric properties})
"(:Paper {journal: Applied Materials Today,year: 2025,title: New piezoelectric materials based on Phe-Leu and Leu-Phe dipeptides,isOpenAccess: false,doi: 10.1016/j.apmt.2024.102564})",[:HAS_KEYWORD],(:Keyword {name: Textured ceramics})
"(:Author {name: Anna S. Morozova,affiliation_id: 60096198})",[:AFFILIATED_WITH],"(:Affiliation {country: Russian Federation,name: Kazan Scientific Center, Russian Academy of Sciences,affiliation_id: 60096198})"
"(:Author {name: Anna S. Morozova,affiliation_id: 60096198})",[:WROTE],"(:Paper {journal: Applied Materials Today,year: 2025,title: New piezoelectric materials based on Phe-Leu and Leu-Phe dipeptides,isOpenAccess: false,doi: 10.1016/j.apmt.2024.102564})"
"(:Author {name: Elena O. Kudryavtseva,affiliation_id: 60096198})",[:AFFILIATED_WITH],"(:Affiliation {country: Russian Federation,name: Kazan Scientific Center, Russian Academy of Sciences,affiliation_id: 60096198})"
"(:Author {name: Elena O. Kudryavtseva,affiliation_id: 60096198})",[:WROTE],"(:Paper {journal: Applied Materials Today,year: 2025,title: New piezoelectric materials based on Phe-Leu and Leu-Phe dipeptides,isOpenAccess: false,doi: 10.1016/j.apmt.2024.102564})"
"(:Author {name: Sufia A. Ziganshina,affiliation_id: 60096198})",[:AFFILIATED_WITH],"(:Affiliation {country: Russian Federation,name: Kazan Scientific Center, Russian Academy of Sciences,affiliation_id: 60096198})"
"(:Author {name: Sufia A. Ziganshina,affiliation_id: 60096198})",[:WROTE],"(:Paper {journal: Applied Materials Today,year: 2025,title: New piezoelectric materials based on Phe-Leu and Leu-Phe dipeptides,isOpenAccess: false,doi: 10.1016/j.apmt.2024.102564})"
"(:Author {name: Nadezhda V. Kurbatova,affiliation_id: 60096198})",[:AFFILIATED_WITH],"(:Affiliation {country: Russian Federation,name: Kazan Scientific Center, Russian Academy of Sciences,affiliation_id: 60096198})"
"(:Author {name: Nadezhda V. Kurbatova,affiliation_id: 60096198})",[:WROTE],"(:Paper {journal: Applied Materials Today,year: 2025,title: New piezoelectric materials based on Phe-Leu and Leu-Phe dipeptides,isOpenAccess: false,doi: 10.1016/j.apmt.2024.102564})"
"(:Author {name: Marat A. Ziganshin,affiliation_id: 60070941})",[:AFFILIATED_WITH],"(:Affiliation {country: Russian Federation,name: Kazan Federal University,affiliation_id: 60070941})"
"(:Author {name: Marat A. Ziganshin,affiliation_id: 60070941})",[:WROTE],"(:Paper {journal: Applied Materials Today,year: 2025,title: New piezoelectric materials based on Phe-Leu and Leu-Phe dipeptides,isOpenAccess: false,doi: 10.1016/j.apmt.2024.102564})"
"(:Author {name: Anastas A. Bukharaev,affiliation_id: 60096198})",[:AFFILIATED_WITH],"(:Affiliation {country: Russian Federation,name: Kazan Scientific Center, Russian Academy of Sciences,affiliation_id: 60096198})"
"(:Author {name: Anastas A. Bukharaev,affiliation_id: 60096198})",[:WROTE],"(:Paper {journal: Applied Materials Today,year: 2025,title: New piezoelectric materials based on Phe-Leu and Leu-Phe dipeptides,isOpenAccess: false,doi: 10.1016/j.apmt.2024.102564})"
"(:Composition {property_unit: pm/V,composition: Leu-Phe,property_value: 87})",[:BELONGS_TO],(:Family {name: dipeptides})
"(:Composition {property_unit: pm/V,composition: Phe-Leu,property_value: 71})",[:BELONGS_TO],(:Family {name: dipeptides})
"(:Paper {journal: Computational Materials Science,year: 2025,title: On piezoelectricity in Moiré nitridanes,isOpenAccess: false,doi: 10.1016/j.commatsci.2024.113589})",[:USES_METHOD],(:Method {name: })
"(:Paper {journal: Computational Materials Science,year: 2025,title: On piezoelectricity in Moiré nitridanes,isOpenAccess: false,doi: 10.1016/j.commatsci.2024.113589})",[:USED_SYNTHESIS_STEPS],(:Step {steps: No steps available})
"(:Paper {journal: Computational Materials Science,year: 2025,title: On piezoelectricity in Moiré nitridanes,isOpenAccess: false,doi: 10.1016/j.commatsci.2024.113589})",[:BELONGS_TO_FAMILY],(:Family {name: Nitridanes})
"(:Paper {journal: Computational Materials Science,year: 2025,title: On piezoelectricity in Moiré nitridanes,isOpenAccess: false,doi: 10.1016/j.commatsci.2024.113589})",[:MENTIONS],"(:Composition {property_unit: pm/V,composition: Boron Nitridane21.8,property_value: -0.11})"
"(:Paper {journal: Computational Materials Science,year: 2025,title: On piezoelectricity in Moiré nitridanes,isOpenAccess: false,doi: 10.1016/j.commatsci.2024.113589})",[:MENTIONS],"(:Composition {property_unit: pm/V,composition: Hydrogenated/Fluorinated-Aluminum Nitridane27.8,property_value: -31.6})"
